cpu_usage,memory_usage,error_rate,latency_p99,disk_usage,network_in,pod_restarts,hour_of_day,severity
4.61,39.99,5.996,11.0,45.67,45.52,0,11,1
29.22,59.36,1.461,26.8,10.17,72.01,0,20,0
55.73,20.2,3.28,5.7,62.65,2.99,0,19,0
10.12,36.51,2.139,77.8,54.43,44.0,2,18,0
30.91,32.58,1.604,35.0,13.76,62.93,1,10,0
15.45,77.22,0.628,24.8,51.86,82.5,1,10,0
35.11,9.38,0.135,46.9,27.53,127.05,0,8,0
25.03,48.41,0.228,92.4,26.18,21.31,3,10,0
17.91,49.03,0.315,13.3,33.08,29.13,1,14,0
20.09,42.01,0.477,108.8,49.89,33.55,1,7,0
17.64,43.57,0.355,101.6,23.95,156.81,1,5,0
20.42,49.21,0.381,72.5,32.75,0.6,2,16,0
62.77,19.39,0.671,12.5,37.52,39.27,2,10,0
10.55,5.43,0.901,66.0,49.73,27.95,3,22,0
26.96,11.71,0.645,327.0,56.13,157.33,0,8,0
18.26,59.64,3.37,18.5,26.19,45.26,0,2,0
41.26,39.52,0.214,18.6,46.14,8.74,1,21,0
40.54,73.83,9.841,45.7,13.49,8.65,2,14,1
9.32,39.73,0.08,32.2,22.83,82.49,0,13,0
10.94,59.99,3.268,7.2,31.55,2.36,2,19,0
39.83,38.96,1.946,15.8,38.41,65.71,0,9,0
55.3,39.9,0.023,60.6,50.74,32.0,1,21,0
13.02,57.05,4.072,73.6,54.52,41.55,1,11,0
12.79,60.44,5.643,47.6,34.49,27.37,2,3,1
30.05,48.52,0.077,16.2,68.57,43.29,2,10,0
29.18,70.14,0.679,30.4,71.0,121.59,1,3,0
19.09,57.91,0.963,31.6,59.59,56.41,0,11,0
41.02,47.39,3.185,79.6,39.73,41.24,2,20,0
22.29,6.19,0.386,71.3,38.46,66.47,2,20,0
18.14,73.02,1.884,62.2,56.47,17.99,0,4,0
36.54,89.04,0.505,433.1,62.07,1.26,1,5,1
41.06,37.4,1.091,22.2,62.09,54.38,3,3,0
38.35,7.26,0.623,75.9,35.24,19.94,1,5,0
49.52,32.11,2.374,305.1,32.38,11.81,1,20,0
46.02,61.83,1.136,131.9,47.61,5.44,2,6,0
14.86,17.38,0.867,89.9,53.91,31.55,2,5,0
30.24,54.66,2.776,432.2,44.99,34.28,1,4,0
21.97,8.19,1.658,10.8,29.93,6.38,1,13,0
52.75,81.81,1.78,130.4,29.37,91.19,1,21,1
46.29,42.0,2.723,32.7,36.39,64.87,1,2,0
18.64,56.9,0.675,103.7,50.93,169.27,2,14,0
37.31,46.48,0.519,22.8,41.45,16.89,1,16,0
28.35,33.1,0.177,558.3,15.21,102.68,1,6,1
34.16,28.89,0.731,31.2,64.25,72.57,3,8,0
12.29,78.12,0.444,210.6,69.95,34.15,4,12,1
68.41,40.85,3.208,34.8,35.07,33.65,0,15,0
25.66,38.09,0.171,102.8,24.23,54.1,1,18,0
18.22,28.84,6.37,48.1,39.46,15.37,1,1,1
6.08,25.7,0.75,15.0,61.53,13.22,0,14,0
9.33,62.71,0.381,197.6,44.72,65.67,1,10,0
5.06,24.23,0.55,76.4,43.46,42.64,1,13,0
25.7,11.84,1.823,243.6,84.14,22.51,0,23,0
45.06,20.68,0.992,26.8,28.26,133.3,2,8,0
27.33,29.09,0.632,18.1,45.99,66.13,2,11,0
43.91,30.72,0.261,59.7,27.37,121.8,3,23,0
1.99,29.77,0.5,121.0,61.6,5.79,0,8,0
47.99,55.03,0.245,100.1,48.66,108.83,1,20,0
4.93,5.87,1.982,27.9,63.55,111.44,0,8,0
44.52,69.13,4.773,52.5,59.37,24.59,0,1,0
20.81,70.94,0.137,52.3,27.21,21.53,2,12,0
27.53,41.49,2.795,91.8,32.24,9.44,1,0,0
39.08,56.15,3.737,171.5,35.03,2.65,2,3,0
2.67,40.39,0.901,258.6,60.45,247.69,2,21,0
15.99,59.81,0.106,75.5,57.36,52.87,2,14,0
30.55,79.5,0.175,32.6,4.94,47.42,0,7,0
22.51,29.58,0.014,70.9,75.24,6.65,1,15,0
23.7,53.35,1.619,9.3,43.2,14.59,1,10,0
15.12,75.34,2.617,917.4,6.54,47.76,0,8,1
41.57,25.68,0.107,190.1,25.96,0.23,3,12,0
60.91,57.39,5.232,86.4,29.45,8.36,0,3,1
15.72,21.77,0.509,7.6,69.26,94.75,1,7,0
10.78,27.0,2.518,207.0,65.72,44.19,0,5,0
7.85,52.46,0.363,262.0,82.75,11.04,0,21,0
30.65,42.42,1.407,160.0,36.76,110.43,0,1,0
42.4,59.91,0.803,15.4,53.89,132.62,0,20,0
32.96,6.99,0.934,2.7,37.35,72.58,0,10,0
12.55,20.52,3.084,55.4,25.43,1.34,2,10,0
14.03,67.66,2.293,74.1,56.18,17.68,0,4,0
22.58,14.1,6.527,4.7,61.04,6.64,0,13,1
43.14,69.01,3.44,102.6,24.1,17.76,1,16,0
56.14,21.77,0.841,47.2,29.96,53.66,0,1,0
26.04,44.98,0.868,29.1,29.98,38.03,1,4,0
34.67,26.41,4.304,7.2,44.27,23.51,0,2,0
51.7,51.3,0.786,201.5,67.24,98.75,1,17,0
21.3,21.64,6.982,173.6,73.78,21.3,2,5,1
42.03,60.97,4.932,86.9,27.05,8.94,0,16,0
19.46,86.38,2.865,86.4,74.8,108.05,1,11,1
62.05,59.3,3.636,87.8,35.54,32.36,1,10,0
43.18,21.7,1.749,14.9,25.06,74.67,1,11,0
31.87,52.87,0.052,97.3,24.64,26.44,0,17,0
25.0,39.05,3.591,3.2,45.44,32.09,0,14,0
47.59,32.47,1.536,280.7,52.6,12.15,0,13,0
48.58,81.29,0.475,7.5,14.25,87.32,3,6,1
26.73,15.74,1.536,8.2,58.21,143.03,4,13,1
47.01,7.11,1.309,28.5,65.33,79.71,3,11,0
24.71,4.31,1.925,45.8,63.1,35.42,0,5,0
21.23,38.81,1.607,638.3,47.68,75.9,0,4,1
31.57,46.24,0.876,169.9,45.55,9.52,1,1,0
23.07,75.66,0.274,87.6,38.12,11.22,2,20,0
6.75,12.73,1.879,22.6,17.74,2.94,1,7,0
21.35,33.39,3.029,177.0,65.0,9.49,0,3,0
5.37,19.4,3.412,54.5,22.07,30.5,3,15,0
17.59,33.01,0.245,5.6,34.06,14.3,0,20,0
24.01,18.25,0.396,75.3,23.3,14.89,1,17,0
22.8,12.31,5.787,6.2,32.35,84.86,0,15,1
18.61,38.13,5.469,62.1,44.04,1.85,0,21,1
44.95,33.75,2.13,63.3,21.23,87.88,2,19,0
39.01,45.88,0.454,253.0,25.51,24.89,0,20,0
47.85,49.85,0.792,420.6,31.34,53.37,0,9,0
53.56,34.12,1.318,131.6,32.96,170.58,0,22,0
18.63,86.17,1.148,57.0,38.29,43.47,2,16,1
48.51,27.25,0.337,58.6,57.06,20.72,1,11,0
49.94,19.73,0.338,145.9,85.31,0.68,1,9,0
46.89,35.97,1.466,101.3,36.22,23.12,0,20,0
17.65,25.18,1.884,27.6,27.79,46.31,1,23,0
20.79,33.13,0.158,43.2,65.64,34.11,0,5,0
43.91,0.45,0.763,55.8,36.89,164.47,0,12,0
33.35,36.28,1.305,41.9,20.04,20.74,1,9,0
43.79,59.76,0.183,127.9,68.36,96.6,3,14,0
21.65,48.61,5.77,111.1,65.27,40.93,3,7,1
34.85,57.4,2.082,67.4,15.19,73.59,3,20,0
49.15,31.38,0.962,50.2,52.0,88.56,0,18,0
62.8,39.91,2.41,37.6,46.6,20.26,0,13,0
13.98,56.65,6.221,36.4,25.1,45.5,0,9,1
30.51,63.52,1.201,11.7,20.41,34.74,0,7,0
35.36,32.37,1.877,21.3,57.72,49.11,3,2,0
10.86,27.0,4.102,199.3,46.14,63.2,3,4,0
43.43,67.09,11.644,447.8,21.48,197.14,0,11,1
48.53,25.49,1.583,15.4,53.36,32.44,0,23,0
16.37,7.89,0.629,64.1,37.06,93.16,0,23,0
36.12,40.7,3.954,27.8,48.79,9.85,3,20,0
29.51,65.4,1.685,88.0,24.69,234.68,2,2,0
28.7,46.76,0.804,55.2,29.84,44.22,0,19,0
8.8,2.98,2.647,28.5,23.96,16.8,1,14,0
40.08,30.56,10.476,83.5,60.14,41.14,0,13,1
1.14,33.38,0.467,36.3,44.8,3.82,0,21,0
38.72,39.05,2.914,35.2,41.64,26.03,0,5,0
25.61,47.84,0.153,9.4,73.31,10.46,0,16,0
51.51,38.47,4.574,125.8,29.59,146.08,1,1,0
12.73,71.06,0.235,56.9,58.02,35.76,0,3,0
17.27,62.66,6.654,57.4,29.09,51.04,0,13,1
27.58,66.42,1.47,76.8,43.83,25.24,3,22,0
28.66,26.06,0.029,222.0,79.18,30.44,3,1,0
52.41,53.16,7.816,148.8,40.96,39.35,3,20,1
37.58,35.92,2.364,74.3,57.29,8.06,0,18,0
10.95,27.26,9.09,35.3,39.34,66.23,0,21,1
